FID,IID,Y,Y2,X1
1000454,1000454,4.5838170794472,-2.2300047277231,-0.733503222591492
1000502,1000502,-0.666146919419143,-1.58872017670943,-0.215865394046704
1000627,1000627,3.30174284735598,-1.96618174573654,-0.33491275771336
1002455,1002455,4.69398437818737,-1.40659380661719,-1.08569913530293
1003459,1003459,2.33856513737326,-0.408065058829497,-0.0854232644341502
1003772,1003772,13.0525066891973,1.53233572524388,1.07061053827143
1003824,1003824,4.57219423530745,0.178764663912081,-0.145393550992709
1004453,1004453,0.880431201555364,-0.179674516919198,-1.16554484788995
1005025,1005025,1.89410804496024,0.627806434617262,-0.818515722513129
1005133,1005133,0.444309649048412,1.03176508271971,0.684936077925063
1005560,1005560,6.05099126737633,-0.000794513476085723,-0.320056419276819
1006070,1006070,4.74376114066104,-0.90379094271498,-1.31152241139676
1006174,1006174,6.17904680348292,-1.71833019876178,-0.599608327943981
1006803,1006803,4.33309258083606,-2.23406946406013,-0.129410689007174
1007213,1007213,1.21104425268735,1.37392478035575,0.886736147003819
1008329,1008329,0.385858213483705,0.4879004795976,-0.151395962335781
1008425,1008425,2.55467980595741,0.383967554693504,0.329791200757734
1008546,1008546,-2.24396014999088,-2.95140101082554,-3.2273228297675
1008996,1008996,12.4481447575663,-2.71881968865812,-0.771791771246159
1009668,1009668,7.0780403545965,-1.00037834444384,0.286548567354287
1009682,1009682,8.74333928893508,-1.23301168545112,-1.22051198236614
1009934,1009934,2.73970955875647,0.275590173020158,0.434550377113028
1010188,1010188,5.02538438945395,1.28436239782379,0.800176865835429
1010214,1010214,2.4755202476862,0.4992540501007,-0.163930968642975
1010567,1010567,7.35266989994118,1.58702993100331,1.24291877493732
1010716,1010716,8.47018659478117,-0.847341834234516,-0.93438505805516
1012175,1012175,7.51414707838883,2.32461147485859,0.393708652215793
1012637,1012637,5.36685785021175,1.75882293656114,0.403631455697291
1012652,1012652,0.32988774064922,0.0338762597550607,-0.886436716416801
1012996,1012996,3.09552880313908,-1.91952654956488,-1.31893760353663
1013083,1013083,6.95292468722478,0.321757568990631,0.0288439085164407
1014575,1014575,3.14742661959068,-0.658088509543151,-0.432129793471332
1014902,1014902,6.79684899250113,-0.24127256408899,1.6898725186456
1016160,1016160,6.69429645991568,0.250595132207264,1.22839278213642
1016348,1016348,7.64313172621336,-0.0132402461625263,0.27602347826589
1016591,1016591,4.826332251726,-0.71373278026785,-1.04897550447309
1016800,1016800,3.43764191926888,-0.0647703351762705,-0.520869343832941
1017106,1017106,2.76121418814619,0.465168528716804,1.62320252173067
1017111,1017111,8.16029050578304,-1.29087520483577,-1.0700682293443
1017413,1017413,8.54575911538707,1.73578155393297,1.68588724420516
1017437,1017437,10.8500984270093,-0.432567931255462,-0.24168976773895
1017515,1017515,5.82061451529603,-0.607857694003793,-0.468200478640476
1017582,1017582,1.36957467752273,0.355532996775779,-0.77297822818092
1017880,1017880,11.3227964251772,3.73816021279646,2.1499193357556
1018662,1018662,3.53503665375929,-1.8561105416815,-1.33435362820732
1019703,1019703,3.84567250932055,-0.424862038067562,0.495870479997156
1021450,1021450,6.62032831727829,2.02971437019146,1.23397624015726
1021869,1021869,1.99650418272609,0.151840806637728,0.63436212480624
1022037,1022037,7.04498111481208,0.0134386569581386,0.412022274758476
1022943,1022943,4.35547236357449,0.831096074545393,0.793585307678721
1023311,1023311,2.44618360239497,-0.804746818432986,-0.152410633064764
1024430,1024430,5.15927938768988,-0.83325574193402,-0.22889581513082
1024476,1024476,5.44111631662789,-0.662398867545815,-0.900791750580477
1025395,1025395,7.92817367582197,-1.31526474449863,-0.735026155784277
1025955,1025955,4.98376700242237,0.148608929324905,-1.42768578359344
1026508,1026508,5.16358367547037,0.655469546835418,0.619283534849373
1026839,1026839,7.20147592143777,-0.175228896417627,-0.00619826226962411
1027231,1027231,7.09811053223565,-1.05050458495586,-0.685706845692986
1027268,1027268,6.81343551678533,-1.65341672208241,-0.27933352763722
1027672,1027672,4.95431256247508,-0.512464171266378,-0.782730275283256
1028196,1028196,5.58138874702661,0.374680631252541,-0.778997239732193
1028451,1028451,3.65719036698681,-1.0706015564085,-0.374800093128409
1028600,1028600,2.26656079109699,-1.29855189011721,-0.319393808829427
1028934,1028934,5.92287702983933,1.45124626488881,0.0845437680508079
1029798,1029798,2.43951558949944,-0.878961645588585,-0.768473602939717
1030204,1030204,6.78319338596028,-1.01830097856034,-0.62591091307165
1030276,1030276,5.72891564934736,0.860957488014356,-0.900870855237943
1030432,1030432,7.86122691050129,0.517676808105765,0.663728669675245
1031211,1031211,7.47461110594118,0.935152362780421,0.300279118120242
1032253,1032253,3.69398443770993,1.33219370878807,0.0748568238622741
1032423,1032423,6.54692214740364,0.244338442838441,0.206372695350748
1032464,1032464,3.82420551353963,-0.0665065484326598,-0.488922835294287
1033594,1033594,3.63517231274095,-0.304567592736829,-0.627951657823346
1033784,1033784,9.31487396950651,0.389346683283236,-0.0469167264282995
1033875,1033875,7.50437456853095,0.77340701026655,0.162618115321896
1033930,1033930,5.88611811447964,0.549918992226927,1.2923059149732
1034119,1034119,4.42202275791494,2.04786808136473,-0.463556501519973
1034369,1034369,6.81552824126909,0.415069700920778,0.305463227481723
1035010,1035010,6.87734617953934,0.679097501595777,-0.0839887132403293
1035286,1035286,4.62411882395927,0.284331818738428,0.410363449161995
1036067,1036067,3.40309515587903,-1.23267560691417,0.183678240529079
1036143,1036143,7.01202719860778,2.68093791252691,1.77874161834378
1037032,1037032,6.4106981047825,-0.181081489901551,0.0376828473973804
1037227,1037227,3.42220177606528,4.29169263067477,1.1762201244006
1037304,1037304,7.26044143151399,-0.425178754407298,-0.558535810326816
1039183,1039183,4.57539814031488,0.255909036826853,-0.945617939925607
1039611,1039611,3.17232282220901,0.664719628612087,-0.665188639478671
1040486,1040486,2.62100984994411,0.269646918086806,0.452030191603757
1041259,1041259,7.38444826707105,0.235710180215083,0.526855669188954
1041763,1041763,14.3466476279294,0.417508019977318,-0.23026223548427
1043514,1043514,10.1611154955595,-0.421710829568446,1.39742665316465
1043546,1043546,4.95840325707127,1.74389454205104,1.76365303138536
1043712,1043712,9.04828646654503,0.487053497392111,0.485601354190607
1043770,1043770,6.75036624785334,0.243746292636981,-0.265738943897189
1044352,1044352,2.41981713037332,1.14622134733855,0.15161137071442
1044399,1044399,5.73060939723698,2.73493634136677,1.37660981301448
1044966,1044966,11.4668707742335,0.168994037211829,-0.180394314260575
1045182,1045182,7.02118173788194,-2.9401215796095,-1.56767513247754
1045333,1045333,2.86149732494493,0.152551113103171,-0.260725892708616
1045597,1045597,8.67502451781224,1.01524989283937,0.961810351723574
1045738,1045738,5.86805946193687,-0.330174329121821,0.853895464310112
1047759,1047759,9.70393194313362,1.22667826042663,0.418796702072184
1048476,1048476,4.14730611716863,1.16272127754932,0.339956513014142
1049439,1049439,9.04243872768548,0.770265588700616,0.596425059015276
